2016-07-22 21:05:43,776 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-22 21:05:43,777 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/jparanda/workSpaceJuan/extracting-data/src/main/resources
2016-07-22 21:05:43,778 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-22 21:05:43,778 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/jparanda/workSpaceJuan/extracting-data/src/test/resources
2016-07-22 21:05:51,812 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-22 21:05:51,813 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/jparanda/workSpaceJuan/extracting-data/src/main/resources
2016-07-22 21:05:51,814 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-22 21:05:51,814 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/jparanda/workSpaceJuan/extracting-data/src/test/resources
2016-07-22 21:06:43,055 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: atc.com.mx:extracting-data:1.0-SNAPSHOT @ /home/jparanda/workSpaceJuan/extracting-data/pom.xml.
2016-07-22 21:07:13,173 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: atc.com.mx:extracting-data:1.0-SNAPSHOT @ /home/jparanda/workSpaceJuan/extracting-data/pom.xml.
2016-07-22 21:08:14,813 [Worker-31] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: atc.com.mx:extracting-data:1.0-SNAPSHOT @ /home/jparanda/workSpaceJuan/extracting-data/pom.xml.
2016-07-22 21:10:33,028 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-22 21:10:33,028 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/jparanda/workSpaceJuan/extracting-data/src/main/resources
2016-07-22 21:10:33,029 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-22 21:10:33,030 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/jparanda/workSpaceJuan/extracting-data/src/test/resources
2016-07-22 21:13:27,860 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-22 21:13:27,865 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/jparanda/workSpaceJuan/extracting-data/src/main/resources
2016-07-22 21:13:27,867 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-22 21:13:27,868 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/jparanda/workSpaceJuan/extracting-data/src/test/resources
2016-07-22 21:15:23,014 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-22 21:15:23,014 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/jparanda/workSpaceJuan/extracting-data/src/main/resources
2016-07-22 21:15:23,016 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-22 21:15:23,016 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/jparanda/workSpaceJuan/extracting-data/src/test/resources
2016-07-22 21:18:35,716 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
